,title,vote_count,vote_average,release_date,original_language
367,Twilight,11630,6.3,2008-11-20,en
368,Antlers,714,6.4,2021-10-28,en
369,Dragon Ball Z: Bio-Broly,410,5.7,1994-07-09,ja
370,Teenage Mutant Ninja Turtles,5920,5.9,2014-08-07,en
371,Female Urologists 2,5,7.3,2020-02-20,ko
372,Jackass 4.5,158,6.5,2022-05-20,en
373,See You Soon,19,6.7,2019-07-25,en
374,World War Z,13195,6.8,2013-06-20,en
375,Trolls Holiday in Harmony,142,7.3,2021-11-26,en
376,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,399,8.3,2019-08-30,ja
377,Cinderella,5709,7.0,1950-02-22,en
378,Sex Appeal,119,6.7,2022-01-14,en
379,No Manches Frida 2,709,8.0,2019-03-15,es
380,Love & Gelato,102,5.4,2022-06-22,en
381,James Corden's Top Gun Training with Tom Cruise,2,6.0,2022-06-01,en
382,Percy Jackson & the Olympians: The Lightning Thief,6425,6.2,2010-02-01,en
383,Mulan,5723,7.0,2020-09-04,en
384,Dragon Ball Z: Super Android 13!,392,6.7,1992-07-11,ja
385,The Whole Truth,137,6.3,2021-12-02,th
386,Pixels,6513,5.7,2015-07-16,en
387,Apex,459,5.4,2021-11-12,en
388,Meander,262,6.1,2021-05-26,fr
389,Dragon Ball Z: Bardock - The Father of Goku,509,7.5,1990-10-17,ja
390,Ava,153,6.2,2017-06-21,fr
391,Project X,5247,6.8,2012-03-01,en
392,The Wrong High School Sweetheart,2,4.0,2022-02-04,en
393,The Twilight Saga: Breaking Dawn - Part 2,7735,6.5,2012-11-13,en
394,Pokémon Detective Pikachu,5694,7.0,2019-05-03,en
395,Dragon Ball Z: The Real 4-D at Super Tenkaichi Budokai,16,7.3,2017-06-30,ja
396,The Deep House,660,6.4,2021-06-30,en
397,40 Years Young,23,6.1,2022-03-10,es
398,Naruto Shippuden the Movie: Bonds,307,7.2,2008-08-02,ja
399,White Lie,20,7.1,2019-09-07,en
